Media,Judul,Tanggal,Reporter,Isi
inidata.id,h1.detail-desk,div.fs14.ff-opensans.font-gray,,div.tmpt-desk-kon
bisnisjakarta.id,,,,
telusur.co.id,,,,
cikalnews.com,,,,
perbarui.com,h1.post-title,time,"span[itemprop=""author""]",div.post-content
wartadigital.id,,,,
cakapcakap.com,,,,
majalahpos.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
jubi.co.id,,,,
starjogja.com,,,,
bogorraya.pikiran-rakyat.com,h1,span.text-secondary.font-weight-normal,p.text-muted.mt-2.small,div.wrap__article-detail-content.post-content
repjogja.republika.co.id,h1.mx-0.my-1.px-0,div.single-post-date.row.mb-3.span,div.single-post-date.row.mb-3.span,div.full-post-body.col-8.text-break
mainmain.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
digitalbank.id,,,,
gadgetdiva.id,,,,
eco.hobinews.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
majalahindonesia.id,,,,
topbusiness.id,,,,
indotren.com,,,,
beritarayaonline.co.id,,,,
jogja.voi.id,,,,
serpongupdate.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
bisniscorner.com,,,,
sinarharapan.co,,,,
apahabar.com,,,,
matabanua.co.id,,,,
koranbumn.com,,,,
jambiinsight.com,,,,
moneyinsight-news.com,,,,
jogjainsight.com,,,,
indonesiyes.com,,,,
nunmedia.id,,,,
jejakfakta.com,,,,
marwahkepri.com,,,,
pajakonline.com,,,,
bukamatanews.id,,,,
katakini.com,,,,
islamtimes.org,,,,
bogornews.com,h1.title,span.count-item,a.user-name,"div[itemprop=""articleBody""]"
dailysocial.id,,,,
sulteng.antaranews.com,,,,
freemagz.id,,,,
figurnews.com,,,,
apakabarnews.com,,,,
alpanews.com,,,,
gayagaul.com,,,,
indopremier.com/ipotnews,,,,
pasardana.id,,,,
csr-indonesia.com,,,,
kabarwarta.id,,,,
gadgetren.com,,,,
media-profesi.com,,,,
warnaplus.com,,,,
hybrid.co.id,,,,
transonlinewatch.com,,,,
prorakyat.co,,,,
lenterakata.com,,,,
businessinasia.id,,,,
infoekonomi.id,,,,
gayakeren.id,,,,
beritametro.id,,,,
hardwareholic.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
hariannasional.com,,,,
motherandbaby.co.id,,,,
metrodaily.jawapos.com,,,,
lensamedan.co.id,,,,
jabar.siberindo.co,,,,
lintasjabar.com,h1,p.text-neutral-900.text-sm,p.text-neutral-1200.font-bold,div#content-wrapper
dnaberita.com,,,,
klikterus.com,,,,
dailysatu.com,,,,
bogoronline.com,,,,
waspada.id,,,,
halosemarang.id,,,,
hidupgaya.co,,,,
medanblitz.id,,,,
beningpost.com,,,,
otosia.com,,,,
haibandung.pikiran-rakyat.com,,,,
klikpositif.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
golali.id,,,,
manadones.com,,,,
sahitya.id,,,,
elshinta.com,,,,
beritasatu.my.id,,,,
jogjaaja.com,,,,
Harper's bazaar,,,,
seringjalan.com,,,,
palopopos.co.id,,,,
fin.co.id,h1.tdb-title-text,"time[class=""entry-date updated td-module-date""]",a.tdb-author-name,"div[class=""td_block_wrap tdb_single_content tdi_86 td-pb-border-top td_block_template_1 td-post-content tagdiv-type""]"
bekasi.pikiran-rakyat.com,,,,
melansir.com,,,,
b-squadron.com,,,,
financialexpress.com,,,,
wartapesona.com,,,,
beritabulukumba.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
padek.jawapos.com,,,,
pewarta-indonesia.com,,,,
wisatahits.blog,,,,
jernih.co,,,,
kumbanews.com,,,,
aksikata.com,,,,
digitalcfoasia.com,,,,
hypebeast.com,,,,
lombok.tribunnews.com,,,,
dailylife.id,,,,
isubogor.pikiran-rakyat.com,,,,
soclyfe.com,,,,
papua.tribunnews.com,,,,
pewartasatu.com,,,,
indoaviation.asia,,,,
deskjabar.pikiran-rakyat.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
buser-bhayangkara74.com,,,,
lensabanten.com,,,,
beritatrans.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
banten.idntimes.com,,,,
stockwatch.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
bisnistoday.co.id,,,,
tangerangonline.id,,,,
patadaily.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
merdekanews.co,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
terasjakarta.id,,,,
wartabanjar.com,,,,
semarak.co,,,,
jatimpedia.id,,,,
kabapedia.com,,,,
semarangku.pikiran-rakyat.com,,,,
sebaraya.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
infopenerbangan.com,,,,
stabilitas.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
nawacita.co,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
indotimes.co.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
infopublik.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
beatlyzer.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
inilahbanten.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
inilahkalsel.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
koranpelita.co,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
sinpo.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
sulselonline.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
owntalk.co.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
terdepan.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
suarakarya.co.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
tourismforus.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
businessupdate.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
tabloidmaritim.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
thephrase.id,,,,
kaltim.tribunnews.com,,,,
harian-nasional.com,,,,
warta-online.com,,,,
techverse.asia,,,,
rctiplus.com,,,,
bangka.sonora.id,,,,
otomotifnet.gridoto.com,,,,
tribunpekanbarutravel.tribunnews.com,,,,
aboutmalang.com,,,,
